user_name,score,date,text
Daniel Serra,1,15/06/2024,"Essa última atualização do aplicativo que aconteceu recentemente em 2024 o aplicativo tá um horror! Da vontade cancelar a conta! Eu utilizo um Samsung S24 Ulta 512GB, e tudo funciona normal, só o app do Itaú que vive lento. Conversei com outras pessoas que usam itau e falaram a mesma coisa, após atualização o aplicativo fixou horrível!"
Mirian Silva Alves Gonçalves Gonçalves,5,15/06/2024,Primeiro conta itali
Breno Teixeira,5,15/06/2024,ótimo banco espero ganha um limite de crédito nesse banco já passei meu salário pra cá
Cida Berg,2,15/06/2024,O que está acontecendo com o APP do Itaú que não consigo acessar a minha fatura do meu cartão de crédito?
Edvaldo Cardoso,1,15/06/2024,Cada atualizaçao fica pior. Nao sei o pq de mexer no que esta funcionando. Antes qndo agente ia fazer uma transferencia entre contas perguntava a conta de saida e a de destino. Agr nao pergunta mais pra ql conta sera creditado trazendo duvidas pra onde vai o valor. Toda vez que atualiza tem uma novidade inutil...
Iracema Iara,1,15/06/2024,"Está péssimo o app, toda vez que entro fala que o app não está funcionando e precisa ser fechado ou pedi pra aguardar..."
Rafael Lima#,5,15/06/2024,Muito bom
Edinaldo Sampaio ST,1,15/06/2024,"Infelizmente não sei o que houve depois dessa atualização Nao consigo mais acessar minha conta Toda vez que vou acessar, aparece uma mensagem dizendo que perdeu a conexão com a Internet Manda tentar novamente, mas não vai e nem aparece mensagem mais. Mesmo usando a Internet de dados ou wifi"
Robson santos de freitas,5,15/06/2024,Boa noite muito bom aplicativo Super recomendo fácil mexer
John Santos,1,15/06/2024,"Empresa bandida, ladrões"
solange rodrigues,1,15/06/2024,"Péssimo eu consigo fazer várias transações em outros bancos mesmo sendo conta salário,somente o Itaú que praticamente obriga as pessoas a fazer conta corrente só para fazer o básico"
Sil Sil 1,1,15/06/2024,O aplicativo Itaú está instável. Nunca houve tanta instabilidade. Até às contas tive que atrasar a pagar por causa disso. Que decepção 😭
Robson Santana,3,15/06/2024,Itaú pelo amor de Deus trais o chell Box. Por favor.
henrique alves,5,15/06/2024,Melhor que tem.
Ricardo Souza,1,15/06/2024,Tem sido horrível pois faz negociações sem consentimento
Christian Tenderi Sandino da Gama,2,15/06/2024,Depois da última atualização a aérea de cartões ficou horrível!! E para piorar...a atualização desabilitou o token! Para que mudar toda hora o aplicativo?
Claudio Donisete.S.daSilva (katatau),5,15/06/2024,Muito maravilhoso obrigado mesmo eu adorei muito
Renan Lins (Renansinhohh),1,15/06/2024,"Pix saque não funciona e não é possível ver a senha de 4 dígitos no app, que é necessária para realizar saques. Um dos piores bancos que já utilizei."
Wellington Machado,2,15/06/2024,"Tá aí uma coisa que eu queria muito entender: como é que, um banco grande e que tem um lucro absurdo, não consegue investir em um app decente e altura do porte do banco. Tenho contas online em bancos bem menores que dão um banho de rapidez. O pix é muito lento... Ó Itaú, vcs podem mais!!!"
Shayene Silva,1,15/06/2024,"Já tem meses que não consigo acessar nada, sempre que incluo minha senha diz para tentar novamente pois não pode acessar a página de início. Mais alguém com estre problema?"
Espaço Criação Musical,1,14/06/2024,"O App funciona direito até você tentar cancelar o Seguro. Se tentar fazer isso o App trava e ainda volta a tela inicial como se nunca tivesse feito login. Mas o engraçado que só acontece isso se for CANCELAR o Seguro. Será porque? Além de colocaram informações desnecessárias logo no topo, dificultando o acesso as informações úteis. Isso só faz com que nunca mais contrate qualquer produto deste banco."
Estevao Baesso de souza,5,14/06/2024,App muito bom.
Clebson Silva,2,14/06/2024,Não consigo abaixar o aplicativo Itaú no meu celular novo. Pede pra tirar foto mas a foto não abre
Elieser Almeida,4,14/06/2024,as últimas atualizações deixaram o app pesado.
Kezia Gomes,1,14/06/2024,"Eu até acessaria a conta pelo aplicativo, mas eu ainda não consegui abrir uma conta pelo aplicativo Itaú. Pelo visto, é algo impossível de ser concretizado pelo aplicativo. Sinceramente, esse aplicativo é péssimo. Não tem condições. Ter que ir ao banco só para abrir uma conta, enfrentar uma fila pavorosa por quase 4 horas é desanimador. Ou seja, vocês criaram um aplicativo que só serve para quem tem conta. Isso é ser inovador? Estou impressionada."
Marcos Dhone Nogueira Lisboa,1,14/06/2024,"Nao estou conseguindo nem atualizar este aplicativo ja apaguei minhas fotos desistalei varios aplicativo e nao atualiza ,ta pessimo este aplicativo"
Paulo Henrique,2,14/06/2024,App instável e com acesso pela biometria não esta funcionando corretamente
Sulamita Braz Araujo,1,14/06/2024,Poxa é chato isso já a maioria das vezes e pedindo para atualizar o aplicativo já fiz atualizações umas 3 vezes.
Laurenice Oliveira,1,14/06/2024,Mudam não falam nada uso com biometria agora fica pedindo ag e conta tem com CPF mas não consigo q saco esses app é pra facilitar a vida e não complicar
Renata Guerini,2,14/06/2024,"Não gostei do novo formato do aplicativo, está mais difícil de acessar e a fatura do cartão não está disponível e está péssima pra entender, o modelo de antes era muito melhor."
Taiane Beirão,1,14/06/2024,"sou pf,Nem a conta o aplicativo permitiu abrir,eu nao sei,mas so empresa pode abrir conta."
Marcos Correia,2,14/06/2024,"Novo problema, agora no desbloqueio do cartão, fala que deu erro e que não acharam o cartão como se não tivesse cartão pra desbloquear, acham mesmo que temos tempo pra ir em agência bancária? Se usamos APLICATICO JA PRA NÃO TER QUE IR EM BANCO, PRA NÃO PERDER TEMPO LA!"
Alessandra Lopes,1,14/06/2024,"Você paga a tarifa e não atualiza o pagamento, aí vc tenta abrir o extrato atualizado e ainda assim não abre. Que saco isso!"
Jucimara Angrisanis,1,14/06/2024,"App lixo...horrível...tudo trava...pix , deposito é impossível realizar"
Islane Karolliny,5,14/06/2024,E3 3ee 53 erze3weeEt
André Barreto,1,14/06/2024,"O App já era lento. Agora tem uma semana que eu não consigo fazer sequer um Pix da minha conta. Recebi uma mensagem pelo whatsapp para resolver o problema e não adiantou, aparece uma mensagem de erro para liberação de Itoken. Estou com as minhas contas vencendo e sem poder pagar. DIFÍCIL!!!!"
Um usuário do Google,5,14/06/2024,"Essa atualização está muito complicado, não consigo ver às fatura do cartão de crédito. Não aparece a opção."
Jozair Ferreira,5,14/06/2024,A gente ganha dinheiro em valiação?
Antonio De Olivera Mendes,5,14/06/2024,Muito bom gostei
Black Uzumaki,2,14/06/2024,Um dos piores bancos.
Roberto Lima,1,14/06/2024,Péssimo atendimento...
Nadia Freitas,3,14/06/2024,"Era otimo! Agora mostra valores de empréstimo consignado e depois de clicar em ""simular"" apresenta ""você não tem valores no momento"" Palhaçada! Já tentei de tudo, mas não consigo Editando após resposta do Banco: Ainda não funciona, mesmo após atualização"
Bruna Rafaela Alves da Costa,1,14/06/2024,App muito ruim e difícil de desbloquear a de acesso e muito chato Desde que abriu não tive acesso a essa conta veia ou dificuldade pra desbloquear uma senha
Anderson Siqueira,1,14/06/2024,"Atualização cheia de falha, não abre mais com a digital."
Elson Pimentel,2,14/06/2024,Péssima!!!
Felipe Machado,1,14/06/2024,Não tem como trocar de senha não aparece a opção esqueci minha senha mais
Mario Luiz,2,14/06/2024,"A função de acesso por biometria, deixou de funcionar após atualização. A tela inicial do aplicativo ficou extremamente poluída com propaganda de produtos do banco, ocupando praticamente a área útil do aplicativo."
Vinícius Feitosa,1,14/06/2024,"Péssimo aplicativo, trava na hora de abrir e não lê nenhuma das minhas impressões digitais (cadastrei 4 digitais no celular) aí preciso digitar a senha ... O aplicativo de banco concorrente não faz isso e loga na primeira tentativa"
Jatyr Campos e Alves,1,14/06/2024,Cada dia mais lento e biometria ainda sem funcionar.
Johnatas Ramos,5,14/06/2024,Da horinha
Airton Castelani,1,14/06/2024,"Meu aplicativo parou de funcionar o desbloqueio pela digital! Agora toda vez precisa digitar a senha do aplicativo,demorando mais o acesso."
Gleicimar Magalhães,1,14/06/2024,"Estou impressionada com este Aplicativo. Como pode ter caído tanto na eficiência, gente!? Passei a maior vergonha em passar um Pix para um taxista , pois não abria de jeito nenhum. Tem dias que estou tentando abrir o Aplicativo e não consigo e só pede pra tentar mais tarde. Vou lá e reinicio o celular, mas nada. Já até transferi a chave Pix para outro Banco, mas não sei como ainda tem depósitos caindo nesta chave. Voltem logo para a versão anterior. Que saudade dela. Já foi bom Aplicativo."
Gizely Oliveira - Psicóloga,2,14/06/2024,App sempre foi excelente. Mas ultimamente tem deixado a desejar. A funcionalidade agendamento de pagamento não funciona e descobri quando recebi a notificação de débito em aberto com a empresa.
Paulo Henrique,5,14/06/2024,Só está meio lento
Alinne Fernandes,5,14/06/2024,Ótima
Ingrid Rangel,3,14/06/2024,Poderia ter as opções de reserva dinheiro igual as caixinhas do nubank.ia ficar top
Alessandro Dias,1,14/06/2024,"Recebi meu novo cartão de crédito do Itaú, li o qr code da correspondência onde veio o cartão, mandou eu instalar o app do Itaú para desbloquear o cartão. No app coloco meu cpf e diz que o acesso por cpf estará disponível futuramente. Pede um número de agência e conta. Mas é um cartão de crédito!"
Luciana LU RJ,1,14/06/2024,Pode verificar o depósito em cheque via APP? Esta bugado não pede a foto do verso apenas frente e não da sequência obrigada
Jessica Cieto,1,14/06/2024,Horrível atualizou pra não abrir e não funcionar a pior coisa é sermos Obrigado a fazer estou na 3 tentativa pra tentar entrar
Blond monikita,3,14/06/2024,Quando vou acessar a parte dos seguros o app fecha e diz que tem um bug assim fica difícil espero que resolvam isso logo vem a mensagem pra apagar o cheiro do app mas não adianta nada
Antonio Silva,1,14/06/2024,Essa nova versão do app ficou muito ruim e muito feia por sinal. Como faço pra agendar o pagamento do meu cartão de crédito. Sempre faço isso . E não co segui achar essa possibilidade.... Só tem pra pagar no dia do vencimento ou no dia de acesso... Poderiam me esclarecer?
Israel Maia,5,14/06/2024,Top
Rafael Vinicio,5,14/06/2024,Muito bom
AMARILDO MATOS OLIVEIRA,1,14/06/2024,"É o único app que não permite usar a biometria, tenho outros e uso só a biometria, mas este do Itaú não permite !!!"
luciano gomes,1,14/06/2024,"App tá muito ruim, nem abre mais no celular, fala que apresenta falhas continuas."
Souza Souza,1,14/06/2024,"O antigo visual era simples e prático, agora até para se fazer uma simples transferia de poupança para conta vinculada ficou horrível para acessar, cada dia mais dificuldade nessas atualizações."
Simone Teixeira,1,14/06/2024,Nunca olhei um app tão horrível pra abrir igual a esse mano!
Sumie Takata,1,14/06/2024,"Não é possível cadastrar senha,uma semana tentando, e o suporte não dá retorno."
Alanpereiramkt,2,14/06/2024,"O app ficou horrível, não loga, trava e da erro no token. Quando conecta, é um eternidade no lopping. Já zerei o armazenamento e até, reinstalei e nada."
Rondinele Rocha,1,14/06/2024,Pessimo
Gilberto Rodrigues,5,14/06/2024,Agora está top dos top...
Daniel Junior,3,14/06/2024,"Poupança praticamente inacessível?! Não sei por atualizam, já tava bom, prático, funcional, agora tá tudo incerto, operações que demoram ou nem são feitas, funções lentas ou inacessíveis, lamentável."
Luan Carlos de Oliveira,1,14/06/2024,"Pior aplicativo de banco que já usei. Uma simples opção de visualização de saldo não está na tela inicial. Em vez disso o aplicativo te redireciona para menus de investimento. E depois disso para voltar à tela inicial são necessários 4 cliques, pois são 4 menus de promoção de investimento que aparecem. Numa situação de conexão lenta, por exemplo, se clicar na opção errada, esquece praticidade, pois cada um desses 4 cliques é processamento para o aplicativo. Péssimo app."
Cesar Cabezaolias,1,14/06/2024,"Nova interface está parecendo que não foi terminada. A biometria não ativa a digital de jeito nenhum. Infelizmente não é mais funcional como antes. Já fiz a limpeza de cache e dados, reinstalei o app, mas nada resolveu."
Marcelo Bruzzi,1,14/06/2024,"Que palhaçada!! Vcs removeram as informações do limite do cartão e quanto já foi gasto no crédito. Como a gente fica sabendo agora em quanto está o total das faturas futuras?? Vou ter que solicitar a fatura impressa novamente para receber estas informações? Se for contratar UX Designer e tomar uma decisão dessas, nem precisa! Péssima experiência de uso."
Almir Alves da Costa,5,14/06/2024,Desbloqueio por digital não funcionam nós smartphones Realme C53 e no Realme 12.
Eduardo Tamanaha,3,14/06/2024,Aplicativo ficou lento após está última atualização.
Simone Aparecida Bernardo de Souza,1,14/06/2024,Horrível demais sou surda liga 48 horas sou cansado fala só manda mensagem ou zap Ué mando whatsapp ninguém responde! Aliás falta educação quando vc fala muito rápido como eu falei uso aparelho auditiva eu tiro aparelho auditiva pra mim escutar você 100 volume bem.bem alto. Até aperta orelha .... Eu mando ZAP Itaú ninguém responde FALTA RESPEITO DESLIGA TELEFONE MINHA CARA QUANTA. VEZES EU FALO USO APARELHO AUDITIVA EU TIRO APARELHO PRA ESCUTA DUA VOZ VOCR FALA BAIXO QUE FALA MAIS ALTO QUE🤬
Mp Alineri (Mp),4,14/06/2024,"Aplicativo um pouco lento comparado aos demais app semelhantes, mesmo limpando cache, por exemplo o Nubank voa... muito invasivo na área de boletos porque 'puxam' dados de outros bancos sem autorização prévia além de impreciso, deixando preocupado sem necessidade, mas tem opção de desativar depois. Uma sugestão também é juntar a parte de cartões num único lugar debito e crédito, é bem mais fácil e prático"
ALex Heitor,1,14/06/2024,A nova atualização tá desligando sozinha não dá pra fazer nada
Germano Mascarenhas,3,14/06/2024,"Era ótimo quando tinha atendimento por chat, agora o chat é só atendente virtual :( Falta a opção de modo escuro. No mais, tá bom."
Antonio Souza,5,14/06/2024,Muito bom
Almir Pinto,1,14/06/2024,Ruim
Katiana Maria Monteiro,1,14/06/2024,"A atualização está péssima, não consigo habilitar a biometria"
Angélica Maia,1,14/06/2024,"Não estou conseguindo fazer pagamentos pelo app, sempre fala pra voltar mais tarde e nada! Tem que se deslocar de sua casa. Pessoa idosa para fazê-lo. Vcs são os únicos que acontece isso. É muita falta de compromisso e respeito para clientes de anos desse banco que, ao invés de melhorar, só piora. Sempre as mesmas respostas...."
HEMENSON MACHADO,1,14/06/2024,Bug fica toda hora pedindo senha em transações
Lindonice Maria,2,14/06/2024,Essa nova atualizaçao e muito ruim nao estou consequindo nem entrar na minha conta
Anna Paula Logi,1,14/06/2024,"Esse aplicativo está um lixo, não consigo acessar minha conta ,já estou a 3 dias tentando ,um absurdo isso!"
Hallan Hiroshi,1,14/06/2024,Horrível essa atualização
Helena De Sousa,1,14/06/2024,"Eu admito muito o itau, mas desde 2020 que eu tento abrir conta e o itau não autoriza, informa que eu tenho que tentar mais tarde."
Thaís R Moutinho,1,14/06/2024,"O app sempre foi um dos melhores que eu já usei principalmente em agilidade. Mas essa nova versão ficou péssima, muito lento para abrir, parece que ficou pesado. Sem contar que nós pagamento as vezes é necessário tentar umas 2x pq depois que coloca a senha e ele fica pensando um bom tempo e depois fala que não foi possível efetuar por time out. A usabilidade ficou péssima. Revejam o app pq a qualidade está caindo a cada dia, em comparação ao antigo que era super rápido."
elisete souza,1,14/06/2024,Não gostei muito confuso
Ariana Bachega,1,14/06/2024,Nova atualização está péssima.
Cledenilson Amaro,1,14/06/2024,"Tá muito ruim, lento de mais muita demora para entrar no aplicativo"
Jales Violeiro 45,5,14/06/2024,"Vou dar 5 estrelas pela a primeira vez nesse app. Se me interessar totalmente em tudo, vou agradecer sempre."
Luiz Lyance,1,14/06/2024,Já tem 3 dias que não consigo realizar Pix pelo aplicativo Já tentei realizar e limpeza do cachê e mesmo assim não resolveu
Elias Barbosa,2,14/06/2024,Não consigo mais habilitar o token no app. confirma a identidade e volta pra tela inicial. Desisti. Já tô no digital.
Rosemarilena Oliveira,1,14/06/2024,Excluí esses dados
jair nunes,5,14/06/2024,Nota 10 eu gosto muito
Marcelle Machado,1,14/06/2024,"Simplesmente de uma semana pra cá, meu app deixou de fazer pix. Eu entro no app coloco as informações e nada acontece, quando clico nas minhas chaves pix o app fica com tela preta e me desconecta automaticamente da minha conta. É inacreditável isso acontecer, preciso usar o pix com frequência e agora DO NADA ele para. Inacreditável."
Ingrid Oliveira,1,14/06/2024,"Na semana passada passei vários dias tentando fazer aviso de viagem e não funcionava. Precisei fazer contato com gerente, um atendimento terrivelmente demorado, com whatsapp do Itaú ficando indisponível por várias horas. Hoje estou tentando consultar minha última fatura de cartão paga e não abre, está indisponível tb.. Péssimo app."
Denis Romanzini,4,14/06/2024,"Pelamordedeus. Quando for pra atualizar, dêem a opção de fazer isso depois tbm. Precisei rapidamente e entrar no banco para ver uma conta e me lasquei por causa disso pq fui obrigado a esperar pra atualizar e estava praticamente sem sinal na rede. Não obriguem a fazer quando quiserem sem opção, poxa."
Wendel Silvério,1,14/06/2024,"Um banco tão grande não consegue fazer um aplicativo descente. Cada vez que acesso é uma tela diferente, toda hora perde a agência e conta, faz somente uma transação por vez e fecha o aplicativo, o design ficou parecendo aqueles sites que só tem propaganda dos anos 90, a um tempo atrás era o melhor aplicativo de banco. Ah, e se for para dar uma resposta padrão para ligar no 0800 nem precisa perder seu tempo."
Um usuário do Google,1,14/06/2024,Não instala biometria em aparelho Android 14+ mesmo com o último patch de segurança.
Albano Junior,1,14/06/2024,Não atende minha demanda
Maria Presser,1,14/06/2024,Muitas informações pessoais que podem ser vazadas.
Jefferson Lima,2,14/06/2024,"Está horrível essa banco eu vou entrer no app, demora e fala senha incorreta e quando entra vou transferir um valor fala que está sem saldo cada uma viu 🙄🙄😮‍💨"
altair moreira,1,14/06/2024,Quando o app vai voltar a funcionar?
Rafael Guzeloto,1,14/06/2024,Depois da última atualização app ficou horrível pra ver os valores gastos na fatura dos cartões... Péssima atualização!!!
Marcos Antônio,1,14/06/2024,Esse app do Itaú está muito confuso 😕😕😕 Cada atualização só piora! Vamos simplicar e tornar mais prático!
renato duarte,5,14/06/2024,"Ótimo, Útil"
Waldyr José Ferreira Nego,5,14/06/2024,Ótimo
Joselito Santana dos Santos,5,14/06/2024,Boa
Felipe Ferreira,1,14/06/2024,"Péssimo, irei pagar a compra que fiz no cartão e irei cancelar esse cartão e conta."
Welison Silva,4,14/06/2024,"O banco melhorou em algumas coisas e piorou em outras,tem travado muito em algumas funções"
Edimar Fernandes,2,14/06/2024,Itaú não consigo realizar um Pix pq pede para cadastrar o itoken faço tudo instalo mas não gera o código e recomeça dnv pqp ajuda alguém mais passando por isso
Sanndro,1,14/06/2024,"Cada atualização decaindo mais ainda,lamentável."
Luana Valente,5,14/06/2024,Perfeito
Jaco Rocha,1,14/06/2024,App tá muito ruim.
Rildo Oliveira,1,14/06/2024,Uma total falta de respeito com o cliente essa demora em resolver um problema simples do app que é a ativação da função de entrar no app por meio da digital. Já se vão mais de um mês com esse problema e nada de resolverem. Uma vergonha esse app.
Marcos Avelino,5,14/06/2024,Excelente
roger oliveira,2,14/06/2024,Esse aplicativo do Itaú é péssimo cheio de atualização não gostei da atualização do cartão de crédito horrível gostava da atualização anterior muito mais legal !!!!
Matheus Chagas Rodrigues,1,14/06/2024,"Dois dias que dá mensagem de falha de conexão com Internet, assim não consigo acessar minha conta. Péssimo app."
Anamélia de Souza Jesus,3,14/06/2024,"Sempre funcionou bem. Mas, desde dia 10/6 está impraticável. Não entra. Acusa instabilidade, falta de conexão com internet, ou fica eternamente carregando. Por favor, consertem isso. Grata."
Vmoschioni,1,14/06/2024,"Não sei quem teve a brilhante ideia de piorar o aplicativo, mas arrumem isso aee ta horrível demais. Me prejudicou essa semana com transferências via pix e pagamento de contas. Ta difícil."
Valdirene Tenório,1,14/06/2024,"A nova atualização do app é péssima, não temos acessibilidade as parcelas do cartão, antes dentro do app encontrava outros serviços nesse tudo ficou mais difiicio. A segurança do Itaú esta péssima em menos de seis meses teve meu cartão clonado outra vez cartão esse que só fiz uma compra, percebe que enquanto pagava anuidade não tinha essa falta de segurança, tenho certeza que nenhum personalit foi clonado, pergunto ao Itaú se não tenhe como da a mesma segurança para o cartão clik não ofereça."
José Brito,3,14/06/2024,Aplicativo bastante pesado para abrir
Jornal Do Povo,4,14/06/2024,"Aplicativo muito intuitivo. Mas não tem a opção de alterar a data de vencimento do cartão de crédito. Parabéns por colocar a opção de adiantar pagamentos de parcelas pelo aplicativo. Porém, não atualiza o pagamento na mesma hora. Infelizmente."
Jordelia Maria,4,14/06/2024,Muito Bom e prático!
leo silva,1,14/06/2024,"Essa última atualização ficou pessima , mal consigo olhar meu saldo / extratos ! App Horrivel"
roniclèrio pereira dos santos,2,14/06/2024,Ficou péssimo.... não consigo ver meu rendimento da poupança.... como faço pra ver
Jessica Santos,1,14/06/2024,Não consigo acessar minha conta pois minha conta é de 8 digitos e o APP só aceita 6 digitos
oliveira michelle,1,14/06/2024,Me ajudem tô desesperada!!!! Eu fiz um pagamento 25 reais pra Ana Silva pic pay eu não salvei Eu não favoritei e o número fico no meu aplicativo!!!! Já liguei 25 x no sac e ninguém Deletou eu quero que Delete
Carlos E. Cheskys,2,14/06/2024,"Com a última atualização o APP ficou bom, porém ao compartilhar um comprovante de pagamento com a impressora, ele ficou muito grande, tanto em imagem pulando muitas linhas como o PDF que chega a imprimir o comprovante em 3 páginas, seria interessante corrigir isso."
Vagner Ferreira,1,14/06/2024,O App fecha sozinho quando uso o App. É mais um bug do App. A cada Atualização vem piorando cada vez mais.
Nykyll Nunes,5,14/06/2024,Ótima
Daniel Ribeiro,1,14/06/2024,Tudo muito difícil de fazer pelo app. A ajuda manda fazer clicar em opções que não existem. Sofrível
gustavo,1,13/06/2024,O que está acontecendo?? Não estou conseguindo abrir uma conta no aplicativo!! Preciso com urgência
Jessica Marques,1,13/06/2024,"A nova atualização está horrível, na parte de pagamento do cartão está muito confuso, na versão anterior era mil vzs melhor. Era tudo organizado antes e de fácil acesso, agora não está mais"
claudia boop,1,13/06/2024,"Só queria desbloquear a senha do cartão, mas não tem a opção se você não é cliente, praticamente obrigam a pessoa a abrir uma conta. Péssimo."
Tatiane Ângelica,1,13/06/2024,"Nunca vi um aplicativo que não notifica quando o salário cai ,e lento demais, não notificação pagamentos no cartão de débito"
Edvaldo Júnior,1,13/06/2024,"Infelizmente o aplicativo deixar a desejar por uma série de motivos . Um deles é não atualizar o saldo quando você faz o pagamento do cartão de crédito valor da fatura total, ou seja ainda consta o débito como se você não estivesse quitado. Outro ponto as configurações de segurança do app , quero ter ascesso através de Biometria mais não dar certo. Mensagens frequentes , anúncios. Horrível."
Rodrigo Tiburski,1,13/06/2024,"App péssimo para controle da conta, não recomendo, na verdade recomendo, recomendo a não usarem."
Victor,1,13/06/2024,"Pouco humano Equipe Itaú , lembre-se que do outro lado da tela tem uma pessoa. Eu não sei se é porque algum chefe manda ou por capricho, mas ficar atualizando toda hora só atrapalha a vida do usuário. Não consigo nem achar a parte de agendamentos ou agendar pagamento. E nem tenho tanta idade, imagina idosos que em geral tem mais dificuldade. ATUALIZAR O LAY OUT NÃO É STATUS."
Arnaldo Abreu,1,13/06/2024,"eu prefiro como tava,vcs estão me obrigando a fazer atualização do qual eu não quero"
Daniele Maria Marques de Carvalho,5,13/06/2024,Otimo
Celina de Jesus Amaral Delgado,2,13/06/2024,Cumpĺicado
Diogo Castro Veloso Soares,1,13/06/2024,"Tenho acesso a duas contas no banco e não sei por qual motivo os itokens simplesmente pararam de funcionar com a última atualização. Não consegui resolver o problema nem na agência! O sentimento que fica é que estou sendo expulso do banco, pq as contas se tornam inúteis sem realizar transações via celular."
Elaine Ghezzi,1,13/06/2024,"Impressionante a capacidade de estragar o que era bom. Na aba para pagamento de cartão de crédito não existe mais a opção de agendamento, só pagar no dia corrente. Para agendar tem que seguir o caminho de pagamento de boletos comuns, com código de barras, etc, etc. Parabéns aos envolvidos na péssima novidade."
Antonio Fernandes,1,13/06/2024,Péssimo
Peter Cetera,1,13/06/2024,"App so piora! Agora pediram reconhecimento facial e que funcionou por 1 semana. Hj tá aparecendo itoken na tela e agora o app fecha, clica, pisca e fecha. Por que vcs gostam de irritar e atrapalhar a vida das pessoas? Terei que mudar de banco ou guardar dinheiro embaixo do colchão?"
Lucas Carvalho,1,13/06/2024,"Aplicativo depois da atualização deixa a desejar tá precisando de mais de 20 tentiva para abrir negócio! É fazer portabilidade de salário e mudar pro nubank, um banco desse calibre não consegue, fazer um aplicativo que não de problemas , chega ser vergonhoso, por isso que os bancos virtual estão crescendo cada vez mais , porque os bancos que a gente sempre conheceu, estão se tornando obsoleto."
antonio arnaldo utinetti,5,13/06/2024,Agora não 😕
